Title,File Name,URL
A Systematic Literature Review on English and Bangla Topic Modeling,2021_17_1_jcssp.2021.1.18.pdf,https://thescipub.com/pdf/jcssp.2021.1.18.pdf
"DAD: A Detailed Arabic Dataset for Online Text Recognition and Writer Identification, a New Type",2021_17_1_jcssp.2021.19.32.pdf,https://thescipub.com/pdf/jcssp.2021.19.32.pdf
Collision Avoidance Modelling in Airline Traffic Based on the Change of Airplane Movements and Dynamic Clouds,2021_17_1_jcssp.2021.33.43.pdf,https://thescipub.com/pdf/jcssp.2021.33.43.pdf
Fine-Tuned MobileNet Classifier for Classification of Strawberry and Cherry Fruit Types,2021_17_1_jcssp.2021.44.54.pdf,https://thescipub.com/pdf/jcssp.2021.44.54.pdf
A Content Filtering from Spam Posts on Social Media using Weighted Multimodal Approach,2021_17_1_jcssp.2021.55.66.pdf,https://thescipub.com/pdf/jcssp.2021.55.66.pdf
Risk Prediction with Regression in Global Software Development using Machine Learning Approach: A Comparison of Linear and Decision Tree Regression,2021_17_2_jcssp.2021.67.89.pdf,https://thescipub.com/pdf/jcssp.2021.67.89.pdf
Estόria: A Framework for Code and Execution Reuse between Test Classes,2021_17_2_jcssp.2021.90.111.pdf,https://thescipub.com/pdf/jcssp.2021.90.111.pdf
Sentimental Analysis on Health-Related Information with Improving Model Performance using Machine Learning,2021_17_2_jcssp.2021.112.122.pdf,https://thescipub.com/pdf/jcssp.2021.112.122.pdf
Conceptual Modeling for Computer Organization and Architecture,2021_17_2_jcssp.2021.123.134.pdf,https://thescipub.com/pdf/jcssp.2021.123.134.pdf
Measuring Test Data Uniformity in Acceptance Tests for the FitNesse and Gherkin Notations,2021_17_2_jcssp.2021.135.155.pdf,https://thescipub.com/pdf/jcssp.2021.135.155.pdf
Restricted Boltzmann Machines for Fundus Image Reconstruction and Classification of Hypertension Retinopathy,2021_17_2_jcssp.2021.156.166.pdf,https://thescipub.com/pdf/jcssp.2021.156.166.pdf
First-Degree Polynomial Gradient Approach to Reveal the Severity of COVID-19 Pandemic in Affected Countries,2021_17_2_jcssp.2021.167.177.pdf,https://thescipub.com/pdf/jcssp.2021.167.177.pdf
